; Instruction assembly file;  by Joe Tamburino.  9/12/89
; Data is taken directly from Pg. 472-475 of Appendix A of
; some book owned by Frank Archambeault

;MNEM    | 1st BYTE  | OPERAND TYPE          | 2nd byte  | CLASS
END OF LIST

Mod R/M Values from Intel IA-32 manual Table 2-1 (16-bit), Table 2-2 (32 bit)

In cases of operands bits 0 1 2 3 4 5 6 7
                                      d w

type 13; xxxxx0w 11 Reg1 reg2
              1w mod reg r/m
              sw 11 010 reg  immediate data


Opcode is 1 or 2 bytes, then Mod-R/M byte and SIB byte
Mod Byte        SIB Byte
Bits
7-6  5-3  2-0   7-6    5-3   2-0
Mod  Reg  R/M   Scale Index Base

If instruction has displacement, it immediately follows
Mod-R/M and SIb bytes; the displacement is 8, 16, or 32 bits.
If there is an Immediate value, it follows the displacement.
The immediate value is always last.

REG field    W=1                 Operand size based on w bit
Value  16-bit   32-Bit            W bit    16-bit    32-bit
        Code    Code      W=0               mode      mode
 000     AX      EAX      AL       0       8 Bits    8 Bits
 001     CX      ECX      CL       1      16 Bits   32 Bits
 010     DX      EDX      DL
 011     BX      EBX      BL      S Bit, if 1, sign extends
 100     SP      ESP      AH        8-bit data to 16 or 32 bits
 101     BP      EBP      CH
 110     SI      ESI      DH
 111     DI      EDI      BH

Segment register (S) bit      Special Register
2-bit    3-bit    Seg          (eee) field
S-reg2   S-reg3   Reg        Control   Debug
  00      000      ES          CR0      DR0
  01      001      CS          rsvd     DR1
  10      010      DS          CR2      DR2
  11      011      SS          CR3      DR3
          100      FS          CR4      rsvd
          101      GS          rsvd     rsvd
          110     rsvd         rsvd     DR6
          111     rsvd         rsvd     DR7


tttn field for test or jump
tttn  Mnemonic Condition
0000  O         Overflow
0001  NO        No overflow
0010  B,   NAE  Below, Not above or equal
0011  NB,  AE   Not below, Above or equal
0100  E,   Z    Equal, Zero
0101  NE,  NZ   Not equal, Not zero
0110  BE,  NA   Below or equal, Not above
0111  NBE, A    Not below or equal, Above
1000  S         Sign
1001  NS        Not sign
1010  P,   PE   Parity, Parity Even
1011  NP,  PO   Not parity, Parity Odd
1100  L,   NGE  Less than, Not greater than or equal to
1101  NL,  GE   Not less than, Greater than or equal to
1110  LE,  NG   Less than or equal to, Not greater than
1111  NLE, G    Not less than or equal to, Greater than

Encoding of Operation Direction (d) Bit
d        Source             Destination
0 reg Field              ModR/M or SIB Byte
1 ModR/M or SIB Byte     reg Field



AAA—
AAD—
AAM—
AAS—
ADC—
ADD—
ADDPD—
ADDPS—
ADDSD—
ADDSS—
AND—
ANDPD—
ANDPS—
ANDNPD—
ANDNPS—
ARPL—
BOUND—
BSF—
BSR—
BSWAP—
BT—
BTC—
BTR—
BTS—
CALL—
CBW
CWDE—
CDQ—
CLC—
CLD—
CLFLUSH—
CLI
CLTS—
CMC

CMOVcc

CMP
CMPPD
CMPPS
CMPS
CMPSB
CMPSW
CMPSD
CMPSD
CMPSS
CMPXCHG
CMPXCHG8B
COMISD
COMISS
CPUID
CVTDQ2PD
CVTDQ2PS
CVTPD2DQ
CVTPD2PI
CVTPD2PS
CVTPI2PD
CVTPI2PS
CVTPS2DQ
CVTPS2PD
CVTPS2PI
CVTSD2SI
CVTSD2SS
CVTSI2SD
CVTSI2SS
CVTSS2SD
CVTSS2SI
CVTTPD2PI
CVTTPD2DQ
CVTTPS2DQ
CVTTPS2PI
CVTTSD2SI
CVTTSS2SI
CWD
CDQ
CWDE
DAA
DAS
DEC
DIV
DIVPD
DIVPS
DIVSD
DIVSS
EMMS
ENTER
F2XM1
FABS
FADD
FADDP
FIADD
FBLD
FBSTP
FCHS
FCLEX
FNCLEX

FCMOVc

FCOM
FCOMP
FCOMPP
FCOMI
FCOMIP
FUCOMI
FUCOMIP
FCOS
FDECSTP
FDIV
FDIVP
FIDIV
FDIVR
FDIVRP
FIDIVR
FFREE
FICOM
FICOMP
FILD
FINCSTP
FINIT
FNINIT
FIST
FISTP
FLD
FLD1
FLDL2T
FLDL2E
FLDPI
FLDLG2
FLDLN2
FLDZ
FLDCW
FLDENV
FMUL
FMULP
FIMUL
FNOP
FPATAN
FPREM
FPREM1
FPTAN
FRNDINT
FRSTOR
FSAVE
FNSAVE
FSCALE
FSIN
FSINCOS
FSQRT
FST
FSTP
FSTCW
FNSTCW
FSTENV
FNSTENV
FSTSW
FNSTSW
FSUB
FSUBP
FISUB
FSUBR
FSUBRP
FISUBR
FTST
FUCOM
FUCOMP
FUCOMPP
FWAIT
FXAM
FXCH
FXRSTOR
FXSAVE
FXTRACT
FYL2X
FYL2XP1
HLT
IDIV
IMUL
IN
INC
INS
INSB
INSW
INSD

INT n

INTO
INT 3
INVD
INVLPG
IRET
IRETD

Jcc

JMP
LAHF—
LAR—
LDMXCSR—
LDS
LES
LFS
LGS
LSS
LEA
LEAVE
LES
LFENCE
LFS
LGDT
LIDT
LGS
LLDT
LIDT
LMSW
LOCK
LODS
LODSB
LODSW
LODSD
LOOP

LOOPcc

LSL
LSS
LTR
MASKMOVDQU
MASKMOVQ
MAXPD
MAXPS
MAXSD
MAXSS
MINPD
MINPS
MINSD
MINSS
MOV
MOV
MOV
MOVAPD
MOVAPS
MOVD
MOVDQA
MOVDQU
MOVDQ2Q
MOVHLPS
MOVHPD
MOVHPS
MOVLHPS
MOVLPD
MOVLPS
MOVMSKPD
MOVMSKPS
MOVNTDQ
MOVNTI
MOVNTPD
MOVNTPS
MOVNTQ
MOVQ
MOVQ2DQ
MOVS
MOVSB
MOVSW
MOVSD
MOVSD
MOVSS
MOVSX
MOVUPD
MOVUPS
MOVZX
MUL
MULPD
MULPS
MULSD
MULSS
NEG
NOP
NOT
OR
ORPD
ORPS
OUT
OUTS
OUTSB
OUTSW
OUTSD
PACKSSWB
PACKSSDW
PACKUSWB
PADDB
PADDW
PADDD
PADDQ
PADDSB
PADDSW
PADDUSB
PADDUSW
PAND
PANDN
PAUSE
PAVGB
PAVGW
PCMPEQB
PCMPEQW
PCMPEQD
PCMPGTB
PCMPGTW
PCMPGTD
PEXTRW
PINSRW
PMADDWD
PMAXSW
PMAXUB
PMINSW
PMINUB
PMOVMSKB
PMULHUW
PMULHW
PMULLW
PMULUDQ
POP
POPA
POPAD
POPF
POPFD
POR
PREFETCHh
PSADBW
PSHUFD
PSHUFHW
PSHUFLW
PSHUFW
PSLLDQ
PSLLW
PSLLD
PSLLQ
PSRAW
PSRAD
PSRLDQ
PSRLW
PSRLD
PSRLQ
PSUBB
PSUBW
PSUBD
PSUBQ
PSUBSB
PSUBSW
PSUBUSB
PSUBUSW
PUNPCKHBW
PUNPCKHWD
PUNPCKHDQ
PUNPCKHQDQ
PUNPCKLBW
PUNPCKLWD
PUNPCKLDQ
PUNPCKLQDQ
PUSH—
PUSHA
PUSHAD
PUSHF
PUSHFD
PXOR
RCL
RCR
ROL
ROR
RCPPS
RCPSS
RDMSR
RDPMC
RDTSC
RDTSC
REP
REPE
REPZ
REPNE
REPNZ
RET
ROL
ROR
RSM
RSQRTPS
RSQRTSS
SAHF
SAL
SAR
SHL
SHR
SBB
SCAS
SCASB
SCASW
SCASD

SETcc

SFENCE
SGDT
SIDT
SHL
SHR
SHLD
SHRD
SHUFPD
SHUFPS
SIDT
SLDT
SMSW
SQRTPD
SQRTPS
SQRTSD
SQRTSS
STC
STD
STI
STMXCSR
STOS
STOSB
STOSW
STOSD
STR
SUB
SUBPD
SUBPS
SUBSD
SUBSS
SYSENTER
SYSEXIT
TEST
UCOMISD
UCOMISS
UD2
UNPCKHPD
UNPCKHPS
UNPCKLPD
UNPCKLPS
VERR
VERW
WAIT
FWAIT
WBINVD
WRMSR
XADD
XCHG
XLAT
XLATB
XOR
XORPD
XORPS

